customer_id,date,age,income,occupation,credit_amount,debit_amount,balance,investment_return_percent,credit_score,feedback
CUST0001,15/1/2025,56,2860,Trader,251.82,241.38,4531.69,0.03,630,Saving for a house.
CUST0002,21/1/2025,20,,Student,153.53,118.49,3857.24,,321,Trying to improve my credit score.
CUST0003,28/1/2025,59,,Trader,217.77,103.92,5284.93,0.43,804,I might reduce spending on dining.
CUST0004,4/1/2025,56,7393,Designer,207.61,189.88,4719.56,0.43,639,I plan to increase my savings next month.
CUST0005,3/1/2025,25,14206,Teacher,181.64,173.36,2469.76,2.68,689,
CUST0006,12/1/2025,35,8873,Engineer,259.08,160.28,4768.7,-0.1,637,Planning to buy a car soon.
CUST0007,29/1/2025,62,9208,Consultant,246.57,203.26,6788.66,2.01,789,Saving for a house.
CUST0008,16/1/2025,25,5104,Engineer,317.52,82.57,6900.01,3.95,846,I need to manage my expenses better.
CUST0009,26/1/2025,18,3028,Consultant,137.62,99.37,4698.93,-1.43,540,Saving for a house.
CUST0010,13/1/2025,40,8374,Engineer,86.51,161.42,5271.51,1.72,542,I need to manage my expenses better.
CUST0011,20/1/2025,23,5627,Nurse,207.77,208.12,3595.89,,676,Planning to buy a car soon.
CUST0012,6/1/2025,20,9526,Teacher,12.41,170.73,4208.97,-0.08,673,I need to manage my expenses better.
CUST0013,20/1/2025,66,8585,Designer,265.43,86.72,3483.35,1.41,380,Saving for a house.
CUST0014,1/1/2025,40,10164,Engineer,314.68,213.95,2.48,3.46,715,I plan to increase my savings next month.
CUST0015,6/1/2025,34,10958,Nurse,312.22,65.89,6173.71,4.88,443,Investing more into mutual funds.
CUST0016,20/1/2025,46,11986,Developer,112.26,109.06,6775.02,1.71,447,Looking to diversify investments.
CUST0017,8/1/2025,56,4385,Trader,168.94,96.87,4286.51,1.61,443,Saving for a house.
CUST0018,30/1/2025,19,7423,Student,84.8,221.44,7598.79,-1.23,430,I might reduce spending on dining.
CUST0019,17/1/2025,69,,Student,223.45,107.14,8731.55,1.45,460,I might reduce spending on dining.
CUST0020,17/1/2025,25,3218,Nurse,233.45,36.81,9546.69,0.79,321,I need to manage my expenses better.
CUST0021,27/1/2025,25,5354,Developer,201.04,237.21,4470.69,5.94,752,Investing more into mutual funds.
CUST0022,17/1/2025,66,9679,Nurse,199.07,161.44,6213.95,-0.2,336,Planning to buy a car soon.
CUST0023,1/1/2025,52,2699,Teacher,182.6,121.48,3781.25,-1.13,622,Trying to improve my credit score.
CUST0024,14/1/2025,20,3895,Engineer,218.48,101.46,7114.85,0.6,403,Planning to buy a car soon.
CUST0025,23/1/2025,46,7801,Student,75.89,119.37,3534.1,0.89,335,I plan to increase my savings next month.
CUST0026,12/1/2025,33,12893,Nurse,75.16,270.02,2599.74,2.9,489,
CUST0027,6/1/2025,69,6777,Trader,228.35,37.18,6932.78,-0.52,304,Looking to diversify investments.
CUST0028,3/1/2025,47,6142,Designer,309.07,199.73,5030.29,1.38,419,Investing more into mutual funds.
CUST0029,30/1/2025,54,10308,Designer,240.4,201.95,2599.41,-0.17,812,Investing more into mutual funds.
CUST0030,13/1/2025,42,14775,Teacher,230.18,249.08,2346.34,4.19,375,Investing more into mutual funds.
CUST0031,28/1/2025,46,14237,Student,235.51,196.48,3146.14,0.38,731,I might reduce spending on dining.
CUST0032,26/1/2025,54,12262,Teacher,323.45,229.4,4743.18,-0.43,741,Trying to improve my credit score.
CUST0033,16/1/2025,33,4839,Teacher,183.8,153.65,6294.33,0.75,679,I need to manage my expenses better.
CUST0034,1/1/2025,29,10002,Engineer,222.48,112.64,4583.76,-0.49,717,Planning to buy a car soon.
CUST0035,11/1/2025,67,11708,Designer,228.96,184.88,3740.6,2.25,693,I need to manage my expenses better.
CUST0036,4/1/2025,52,6079,Teacher,302.21,114.51,6094.19,0.1,336,Planning to buy a car soon.
CUST0037,30/1/2025,52,6968,Student,200.97,205.86,3953.62,,318,Planning to buy a car soon.
CUST0038,7/1/2025,29,6360,Teacher,208.29,166.06,2315.37,-6.23,443,I plan to increase my savings next month.
CUST0039,21/1/2025,38,9651,Consultant,249.93,187.7,4975.51,-1.29,697,Looking to diversify investments.
CUST0040,18/1/2025,60,10010,Developer,207.21,154.96,4483.16,2.87,467,Saving for a house.
